doc_id,text,p_green,u,llm_green_suggested,llm_confidence,llm_rationale,is_green_human,human_notes
9507644,"1. A computer program product for prioritizing processing units in a computing device for task scheduling, the computer program product comprising: a non-transitory storage device storing program instructions to, wherein the program instructions to determine which of the processors is not fully loaded and is in a location with a most favorable thermal condition based on the value of the processor that represents thermal conditions of the location of the processor comprise: wherein the task is scheduled to the first processor if the first processor is not fully loaded and is at the location with the most favorable thermal condition according to the value that represents the thermal condition of the location of the first processor, wherein the task is scheduled to a different processor that is not fully loaded and is at the location with the most favorable thermal condition according to the value that represents the thermal condition of the location of the different processor.",0.499948118333724,0.999896236667448,,,,,
8684208,1. A cylindrical container assembly for storing foodstuffs or liquids comprising: a container comprising:,0.5003506283271619,0.9992987433456761,,,,,
9534814,"1. A magneto-caloric effect type heat pump apparatus comprising: a first magneto-caloric element which generates heat when a first external magnetic field is applied and which absorbs heat when the first external magnetic field is removed; a first magnetic field switcher which switches the first external magnetic field between the applying and the removal; a second magneto-caloric element which generates heat when a second external magnetic field is applied and which absorbs heat when the second external magnetic field is removed; a second magnetic field switcher which switches the second external magnetic field between the applying and the removal; a pump pumping heat transport medium from a middle high-temperature end of the first magneto-caloric element toward a high-temperature end of the first magneto-caloric element when the first external magnetic field is applied to the first magneto-caloric element, and pumping the heat transport medium from the high-temperature end toward the middle high-temperature end when the first external magnetic field is removed from the first magneto-caloric element; the pump pumping the heat transport medium from a low-temperature end of the second magneto-caloric element toward a middle low-temperature end of the second magneto-caloric element when the second external magnetic field is applied to the second magneto-caloric element, and pumping the heat transport medium from the middle low-temperature end toward the low-temperature end when the second external magnetic field is removed from the second magneto-caloric element, an auxiliary heat source device which supplies heat of a heating element to the first magneto-caloric element; wherein cold energy which is transported from the high-temperature end toward the middle high-temperature end of the first magneto-caloric element is further transmitted to the middle low-temperature end of the second magneto-caloric element; the heat of the auxiliary heat source device is transported to the high-temperature end of the first magneto-caloric element; the auxiliary heat source device includes a heat exchanger that transmits the heat of the heating element to the heat transport medium; the heat exchanger is disposed outside of a housing that houses the first magneto-caloric element; the heat exchanger has a ring shape entirely surrounding a circumference of the housing; and the heat exchanger has an inlet and an exit for the heat transport medium at positions opposing to each other through the housing that houses the first magneto-caloric element.",0.4996275747535281,0.9992551495070562,,,,,
8792881,"1. A coordinated multi-point (CoMP) transmission execution cell determination method in a wireless communication system for performing coordinated multi-point transmission in a multi-cell environment, the method comprising: determining, by a serving base station, a terminal to perform the CoMP transmission among terminals in a serving cell, the determining the terminal to perform the CoMP transmission among the terminals in the serving cell being performed by the serving cell based on signals from the terminals regarding channel quality in the serving cell; directing, by the serving base station, the terminal, determined to perform the CoMP transmission, to collect first measurement information on adjacent cells; receiving the first measurement information on adjacent cells from the terminal to prepare a candidate cell list to perform the CoMP transmission based on the first measurement information; transmitting the prepared candidate cell list to the terminal and instructing the terminal to collect second measurement information on candidate cells included in the candidate cell list to perform coordinated multi-point transmission; receiving the second measurement information from the terminal and determining adjacent cells to perform coordinated multi-point transmission in a range of predetermined number of cells based on the received second measurement information; and transmitting information on the determined adjacent cells to the terminal.",0.49955568056405825,0.9991113611281165,,,,,
8953531,"1. A method for managing resources for peer-to-peer (P2P) communication in a wireless communication system, the method comprising: receiving, by a first mobile station (MS) attempting to establish a first P2P communication, a P2P amble signal transmitted on at least one P2P link performing a second P2P communication between different MSs and measuring signal strengths for P2P amble signals; reporting, by the first MS, the measurement results to a base station (BS); and performing, by the first MS, the first P2P communication using a P2P resource that is assigned by the BS considering the measurement results for the at least one P2P link.",0.5004987102862292,0.9990025794275417,,,,,
9096637,"1. A composition comprising an RNAi agent to HSF1 comprising a first strand and a second strand, wherein the sequence of the first strand comprises the sequence of SEQ ID NO: 785, wherein the first and/or second strand are modified or unmodified, and wherein the first and/or second strand are about 30 or fewer nucleotides in length.",0.4993767415419008,0.9987534830838016,,,,,
9647788,"1. A system, comprising: a memory that stores instructions associated with components; and a processor that executes the instructions stored in the memory to facilitate performance of operations by the components, the components comprising:",0.5006499495510218,0.9987001008979564,,,,,
9853179,"1. A system for reducing dark current in a photodiode, comprising: a heater configured to heat a photodiode above room temperature; a reverse bias voltage source configured to apply a reverse bias voltage to the heated photodiode to reduce a dark current generated by the photodiode; and a control system configured to trigger the reverse bias voltage source to apply the reverse bias voltage for a duration less than a duration that the heater heats the photodiode.",0.4992852792148413,0.9985705584296826,,,,,
9446341,"1. A sub atmospheric pressure gas scrubber suitable for use upstream of a vacuum pump, the gas scrubber comprising: a vessel; and means for forming a spray of cleaning solvent within the vessel, wherein the vessel comprises an inlet and an outlet for the gas to be cleaned at sub atmospheric pressures, the inlet and outlet being arranged to cause the gas to be cleaned to pass through the spray of cleaning solvent, wherein the means for forming the spray of cleaning solvent comprises a plurality of spray nozzles, wherein the plurality of spray nozzles comprises a main spray nozzle and additional spray nozzles that are offset radially or radially and axially with respect to the main spray nozzle, wherein the main spray nozzle and the additional spray nozzles are oriented in substantially the same direction, wherein the main spray nozzle is mounted substantially coaxially with the vessel and adapted to form a full circular spray pattern that covers the whole inside diameter of the vessel, and wherein each spray nozzle of the plurality of spray nozzles are arranged to form a spray pattern of cleaning solvent within the vessel, wherein the spray patterns are arranged to overlap radially or radially and axially.",0.49928253777970505,0.9985650755594101,,,,,
8912651,"1. A structure comprising: a first substrate; stud bulbs coupled to a first surface of the first substrate, the stud bulbs comprising a first material composition; a die attached to the first surface of the first substrate; a second substrate; solder electrical connectors coupled to the second substrate, the solder electrical connectors comprising a second material composition, the second material composition being different from the first material composition, respective ones of the solder electrical connectors coupling respective ones of the stud bulbs; and respective ones of protection coatings on a surface of the respective ones of the stud bulbs, the respective ones of the protection coatings being between the respective ones of the stud bulbs and the respective ones of the solder electrical connectors, the protection coatings comprising a third material composition, the third material composition being different from the first material composition and the second material composition.",0.5007392485570279,0.9985215028859442,,,,,
9399272,"1. A dust extraction device for a rotary power tool having an elongate rotating drill bit for operating on a work surface, said device comprising: a casing having an inlet and an outlet and defining an interior cavity, said inlet and outlet communicating with the interior cavity for permitting air flow into the interior space from the inlet to the outlet; and a fan element having a plurality of impellers and a central hub adapted for rotation within and independent of the casing for inducing air flow within the casing from the inlet to the outlet when the fan element rotates; whereby rotation of the drill bit results in air flow to remove debris from the work surface to the outlet without rotating the casing; wherein: the hub is adapted for engaging the drill bit in a manner that permits rotation of the hub as well as axial movement of the drill bit relative to the hub during rotation of the drill bit; rotation of the drill bit is transferred to the fan element via two opposing aligned pins that extend radially into a spiral flute of the drill bit; the fan element is articulated to the drill bit by means of an adapter comprising a generally cylindrical body having an axial bore dimensioned to accommodate a drill bit so as to allow unimpeded rotation of the drill bit within the adapter without undue slack; and said pins projected radially through a side surface of the cylindrical body of said adapter leaving protruding portions that project out of a side surface of the body and are adapted to engage arcuate recesses in the hub of the fan element.",0.4988125910871094,0.9976251821742188,,,,,
8396503,"1. A method of updating a signal quality target for power control of an ongoing uplink radio transmission in a radio communication system, said method comprising: detecting a change in transmission format from a first transmission format to a second transmission format for the uplink radio transmission; updating the signal quality target to include a target offset component associated with the detected change in transmission format; and determining said target offset component as a difference between an estimated required signal quality associated with the second transmission format and an estimated required signal quality associated with the first transmission format.",0.5014476651317681,0.9971046697364638,,,,,
9025316,"1. An electrical component, comprising an inkjet-printed electrode on a flexible substrate, said electrode including a plurality of overlapping dot-like structures which include graphene flakes, at least some of said graphene flakes having oxygen-containing functional groups.",0.5016111426765111,0.9967777146469778,,,,,
9050744,"1. An apparatus for the shaping of plastics material pre-forms into plastics material containers, comprising: a blow-moulding station arranged on a movable conveying device, wherein the blow moulding station includes a blow-mould that forms a cavity in the interior of which plastics material pre-forms are capable of being expanded by being acted upon with a gaseous medium to form the plastics material containers; a stressing device configured to act upon the plastics material pre-forms with the gaseous medium in order to expand them; a clean room which surrounds the blow moulding station at least in part; a stretching unit configured to stretch the plastics material pre-forms along their longitudinal direction, wherein the stretching unit includes:",0.49836784103824805,0.9967356820764961,,,,,
9200120,"1. An intermediate transfer member comprising a layer of a siloxyfluorocarbon networked polymer prepared from siloxyfluorocarbon monomers represented by the structure: wherein R 1 is an aliphatic or aromatic fluorocarbon chain; L is a C a H 2a linker group, where a is a number between 0 and about 10; and X 1 , X 2 , and X 3 are reactive hydroxide functionalities, reactive alkoxide functionalities, unreactive aliphatic functionalities of from about 1 carbon atom to about 10 carbon atoms, or unreactive aromatic functionalities including from about 3 carbon atoms to about 10 carbon atoms, wherein the surface free energy of the intermediate transfer member is from about 10 mN/m to about 40 mN/m to provide wetting of an ink applied to the intermediate transfer member and further wherein the intermediate transfer member exhibits no permanent adhesion of ink to the layer of siloxyfluorocarbon networked polymer.",0.5017742616467801,0.9964514767064399,,,,,
